HYPER-PARAMETERS
[112/400]  Loss_D: -1.4641 Loss_G: -4.3214, Wasserstein_dist:1.9996, vae_loss_seen:735.9259 GZSL: seen=0.9566, unseen=0.8788, h=0.9161 ZSL: unseen accuracy=0.9308
[113/400]  Loss_D: -1.4634 Loss_G: -6.3911, Wasserstein_dist:1.9199, vae_loss_seen:748.0806 GZSL: seen=0.9505, unseen=0.8788, h=0.9133 ZSL: unseen accuracy=0.9260
[114/400]  Loss_D: -1.4596 Loss_G: -4.7576, Wasserstein_dist:2.0227, vae_loss_seen:742.9475 GZSL: seen=0.9617, unseen=0.8683, h=0.9126 ZSL: unseen accuracy=0.9221
[115/400]  Loss_D: -1.5321 Loss_G: -6.2087, Wasserstein_dist:2.1384, vae_loss_seen:744.1094 GZSL: seen=0.9389, unseen=0.8788, h=0.9079 ZSL: unseen accuracy=0.9183
[116/400]  Loss_D: -1.2740 Loss_G: -5.9684, Wasserstein_dist:1.7472, vae_loss_seen:744.6313 GZSL: seen=0.9563, unseen=0.8654, h=0.9086 ZSL: unseen accuracy=0.9221
[117/400]  Loss_D: -1.7509 Loss_G: -4.3049, Wasserstein_dist:2.3217, vae_loss_seen:744.4824 GZSL: seen=0.9544, unseen=0.8827, h=0.9171 ZSL: unseen accuracy=0.9288
[118/400]  Loss_D: -1.2856 Loss_G: -4.8928, Wasserstein_dist:1.7336, vae_loss_seen:743.9540 GZSL: seen=0.9506, unseen=0.8702, h=0.9086 ZSL: unseen accuracy=0.9269
[119/400]  Loss_D: -1.3719 Loss_G: -5.3613, Wasserstein_dist:1.8988, vae_loss_seen:745.7710 GZSL: seen=0.9560, unseen=0.8817, h=0.9173 ZSL: unseen accuracy=0.9288
[120/400]  Loss_D: -1.3309 Loss_G: -3.7668, Wasserstein_dist:1.7918, vae_loss_seen:747.2547 GZSL: seen=0.9525, unseen=0.8769, h=0.9132 ZSL: unseen accuracy=0.9221
[121/400]  Loss_D: -1.2790 Loss_G: -4.4155, Wasserstein_dist:1.7997, vae_loss_seen:738.0082 GZSL: seen=0.9523, unseen=0.8865, h=0.9182 ZSL: unseen accuracy=0.9288
[122/400]  Loss_D: -1.3715 Loss_G: -5.4578, Wasserstein_dist:1.8852, vae_loss_seen:740.9804 GZSL: seen=0.9363, unseen=0.8990, h=0.9173 ZSL: unseen accuracy=0.9317
[123/400]  Loss_D: -1.3885 Loss_G: -3.6579, Wasserstein_dist:1.9046, vae_loss_seen:747.0649 GZSL: seen=0.9534, unseen=0.8808, h=0.9156 ZSL: unseen accuracy=0.9183
